Pizza Ingredients,Total Quantity (gms)
?duja Salami,1352.2256694122914
Alfredo Sauce,502.2029211319178
Anchovies,1031.0605603723184
Artichokes,3471.0599026678324
Arugula,396.1970335531703
Asiago Cheese,2111.2657534634814
Bacon,10916.181228738777
Barbecue Sauce,557.9540472284365
Barbecued Chicken,1635.5170760645867
Beef Chuck Roast,5831.338248406335
Blue Cheese,786.8840711579033
Brie Carre Cheese,406.6348819885625
Calabrese Salami,4934.161077571245
Capocollo,18141.083002741507
Caramelized Onions,135.54496066285418
Chicken,23822.105654120907
Chipotle Sauce,1901.1390400480418
Chorizo Sausage,1954.1736873598704
Cilantro,950.5695200240209
Coarse Sicilian Salami,3685.054335545243
Corn,6356.482448621033
Eggplant,1265.1975401428238
Feta Cheese,4443.0825644809875
Fontina Cheese,1756.9374376883284
Friggitello Peppers,338.05641735307285
Garlic,8105.366841905063
Genoa Salami,2471.353452130431
Goat Cheese,3635.19980198115
Gorgonzola Piccante Cheese,1346.725651877851
Gouda Cheese,1130.1451934080603
Green Olives,1591.7665049243399
Green Peppers,2359.1971556401277
Italian Sausage,390.8347374719741
Jalapeno Peppers,1515.6421167280512
Kalamata Olives,1422.5462852471046
Luganega Sausage,1842.5271677726214
Mozzarella Cheese,4942.793932857067
Mushrooms,10396.531578242091
Onions,921.2635838863107
Oregano,405.5894404886419
Pancetta,2028.3385041184372
Parmigiano Reggiano Cheese,3238.9894288835494
Pears,135.54496066285418
Peperoncini verdi,503.2105100066456
Pepperoni,10489.195870905496
Pesto Sauce,1904.1624999547832
Pineapple,3496.203159060455
Plum Tomatoes,1363.9067281775056
Prosciutto,406.6348819885625
Prosciutto di San Daniele,910.8934620891113
Provolone Cheese,786.8840711579033
Red Onions,23116.04264045117
Red Peppers,4479.62719136751
Ricotta Cheese,1683.407064847314
Romano Cheese,786.8840711579033
Sliced Ham,1581.7253239827733
Smoked Gouda Cheese,786.8840711579033
Soppressata Salami,3133.961221401341
Spinach,8673.995288702732
Sun-dried Tomatoes,639.2939061580823
Thai Sweet Chilli Sauce,1276.3185567184546
Thyme,67.77248033142709
Tomatoes,15645.779421612075
Zucchini,1416.6805645110003
